event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,country,admin1,location,latitude,longitude,fatalities,month_number,month_name,quarter,year_month,day_of_week,week_of_year,is_weekend,conflict_phase,location_type,urban_rural_classification,population_density_level,conflict_intensity_zone,distance_to_border_km,strategic_importance,primary_actor_name,primary_actor_type,primary_actor_affiliation,primary_actor_state_status,secondary_actor_name,secondary_actor_type,secondary_actor_affiliation,secondary_actor_state_status,economic_sector_affected,sector_category,sector_gdp_contribution,sector_employment_size,business_type_damaged,business_size,business_ownership,businesses_affected_count,trade_route_affected,trade_disruption_type,trade_goods_affected,trade_disruption_severity,economic_damage_usd,business_disruption_days,employment_loss_count,agriculture_land_affected_hectares,gdp_impact_local_percentage,affected_age_category,affected_population,children_affected_count,women_affected_count,vulnerable_groups_present,gender_distribution,displacement_type,displacement_duration_category,displacement_destination,displacement_conditions,primary_need_critical,need_urgency,healthcare_access_status,water_access_status,injured_count,displaced_persons,shelters_destroyed_count,humanitarian_aid_required_usd,infrastructure_primary,infrastructure_category,infrastructure_criticality,infrastructure_ownership,damage_severity,damage_type,structural_safety,repair_feasibility,service_disrupted,service_coverage_before,service_backup_exists,population_affected_by_outage,estimated_repair_cost_usd,infrastructure_downtime_days,capacity_loss_percentage,people_without_service_count,org_type_responding,org_mandate_primary,org_capacity_level,org_presence,diplomatic_action_type,diplomatic_level,responding_entity,response_position,media_coverage_type,media_reach_level,media_source_geography,media_framing,aid_orgs_responding_count,foreign_aid_pledged_usd,foreign_aid_delivered_usd,response_time_hours,media_coverage_score,conflict_type_legal,conflict_symmetry,conflict_intensity,international_law_framework,target_classification,weapon_method_primary,civilian_harm_circumstance,law_of_war_concern,combatant_casualties,civilian_casualties
CountryA494,2019-05-12,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region8,City78,35.7225,36.2781,0,5,May,2,19-May,Sunday,19,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,68,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Medium 5-20%,Medium 1k-10k,Retail Shop,Micro <5 emp,Family-owned,0,Internal Route 1,Border Closure,Food/Agriculture,Moderate,3350956,39,548,0,1.07,Mixed All Ages,2611,958,1293,Refugees,Balanced,Evacuated,Permanent,Relatives Home,Critical/Dire,Food,High Priority <72h,No Access,Intermittent,0,3561,125,184124,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Shelling Damage,Unsafe-Evacuated,Reconstruction >6mo,Transportation,High 70-90%,No Backup,100-1000,11665006,74,64,280,Red Cross/Crescent,Shelter/Housing,Large Global,Deployed for Event,Condemnation,UN Security Council,UN,Neutral/Balanced,Social Media Viral,Global Limited,Western Media,Geopolitical Analysis,11,171192,137206,23,6,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA495,2019-06-16,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Military Group 3492,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region8,City245,35.3469,36.5366,0,6,June,2,19-Jun,Sunday,24,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,135,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Public Sector,Tertiary,Major >20%,Small <1k,Market,Small 5-50,Family-owned,9,Internal Route 1,Border Closure,Food/Agriculture,Moderate,2038643,28,471,0,1.37,Mixed All Ages,3342,1452,1528,Multiple,Predominantly Male,Internally Displaced-IDP,Long-term >6mo,Relatives Home,Unsafe,Multiple Critical,Moderate <7d,Partial Access,Intermittent,0,2059,118,622946,Port,Transportation,Non-Critical,Mixed,Destroyed 95-100%,Fire Damage,Fully Collapsed/Demolished,Beyond Repair/Replacement,Transportation,High 70-90%,No Backup,5000-20000,2353012,602,100,19999,Red Cross/Crescent,Food Security,Large Global,Pre-existing,Resolution Vote,UN General Assembly,Arab League,Ceasefire Call,Regional Coverage,Regional,Middle East Media,Sympathetic to Victims,12,421430,164454,18,4,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Rockets/Missiles,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA496,2019-01-04,2019,Political violence,Violence against civilians,Attack,Military Group 3626,Unknown,State forces,Civilian Group 1594,Actor 4320,Civilians,State forces-Civilians,Country A,Region13,City544,33.6653,36.329,1,1,January,1,19-Jan,Friday,1,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,49,Low,Military Group 3626,State Military,Independent,State Actor,Civilian Group 1594,Civilians,Independent,Civilians,Services,Tertiary,Major >20%,Medium 1k-10k,Retail Shop,Micro <5 emp,Family-owned,0,Internal Route 1,Border Closure,Food/Agriculture,Moderate,3271280,72,632,0,0.6,Mixed All Ages,635,235,337,Multiple,Balanced,Evacuated,Long-term >6mo,Tent Camp,Adequate,Food,Moderate <7d,Partial Access,Unsafe Water Only,9,640,101,946642,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Fire Damage,Unsafe-Evacuated,Reconstruction >6mo,Transportation,Partial 40-70%,Temporary Alternative,20000-50000,6918433,113,56,24913,Red Cross/Crescent,Emergency Medical,Large Global,Scaling Up,Condemnation,Bilateral Country,OIC,Ceasefire Call,International Mainstream,Global Limited,Middle East Media,Balanced,8,491645,420484,28,6,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Civilians Directly Targeted,IED/Explosives,Civilians Directly Targeted,Potential War Crime Indicator,0,1
CountryA497,2019-07-31,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Civilian Group 1594,Unknown,Civilians,State forces-Civilians,Country A,Region8,City246,35.5164,36.4326,0,7,July,3,19-Jul,Wednesday,31,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,107,Medium,Military Group 3561,State Military,Independent,State Actor,Civilian Group 1594,Civilians,Independent,Civilians,Industry,Secondary,Medium 5-20%,Medium 1k-10k,Retail Shop,Small 5-50,Cooperative,14,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1813031,213,767,0,0.44,Adults 19-60,746,271,407,Multiple,Balanced,Internally Displaced-IDP,Long-term >6mo,School Building,Unsafe,Food,High Priority <72h,Partial Access,No Water Access,0,2778,102,925230,Port,Transportation,Non-Critical,Mixed,Major 75-95%,Structural Collapse,Partially Collapsed,Reconstruction >6mo,Transportation,Partial 40-70%,No Backup,5000-20000,3363870,114,84,11912,Red Cross/Crescent,Emergency Medical,Large Global,Scaling Up,No Action,Bilateral Country,UN,Pro-Country D/Country E,International Mainstream,Global Widespread,Middle East Media,Geopolitical Analysis,13,380191,126371,34,7,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Civilians Directly Targeted,IED/Explosives,Civilians Directly Targeted,Potential War Crime Indicator,0,0
CountryA498,2019-11-29,2019,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Actor 4854,Unknown,Political militia,Military Group 3656,Unknown,External/Other forces,Political militia-External/Other forces,Country A,Region5,City290,36.8145,38.0099,10,11,November,4,19-Nov,Friday,48,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,2,Medium,Actor 4854,Militia,Independent,Non-State Armed Group,Military Group 3656,State Military,Turkish Forces,State Actor,Industry,Secondary,Medium 5-20%,Medium 1k-10k,Workshop,Micro <5 emp,Corporate,15,Internal Route 1,Border Closure,Food/Agriculture,Moderate,4844406,98,949,0,2.35,Mixed All Ages,11549,4798,5566,Chronic Illness,Balanced,Internally Displaced-IDP,Medium-term 1-6mo,Relatives Home,Minimal Services,Food,High Priority <72h,No Access,No Water Access,57,7133,101,93042,Hospital,Healthcare,Critical Life-Support,Government,Moderate 25-50%,Multiple Types,Needs Minor Repair,Medium Repair 1-6mo,Healthcare,Partial 40-70%,Yes Full Backup,5000-20000,18115104,18,29,11578,Multiple Types,Food Security,Small Local,Pre-existing,Condemnation,UN Security Council,Individual Nation,Ceasefire Call,International Mainstream,Global Limited,Global Mixed,Humanitarian Focus,9,366943,115555,34,6,International Armed Conflict,Internal Factional,Firefight,Geneva Conventions Apply,Military Personnel,IED/Explosives,Disproportionate Force,Proportionality Question,9,1
CountryA499,2019-06-07,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City465,35.4995,36.5406,0,6,June,2,19-Jun,Friday,23,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,35,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Trade,Tertiary,Minor <5%,Medium 1k-10k,Retail Shop,Micro <5 emp,Family-owned,0,Internal Route 1,Border Closure,Food/Agriculture,Moderate,742812,109,748,0,0.96,Mixed All Ages,7743,2462,4131,Disabled,Balanced,Evacuated,Medium-term 1-6mo,Relatives Home,Adequate,Clean Water,Moderate <7d,Partial Access,Unsafe Water Only,0,2702,33,123195,Port,Transportation,Non-Critical,Mixed,Major 75-95%,Structural Collapse,Partially Collapsed,Reconstruction >6mo,Transportation,High 70-90%,Temporary Alternative,5000-20000,1604104,187,81,15493,Intl NGO,Emergency Medical,Small Local,Deployed for Event,No Action,Bilateral Country,UN,Pro-Country D/Country E,Regional Coverage,Regional,Middle East Media,Humanitarian Focus,5,492000,161971,28,4,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA500,2019-02-01,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Civilian Group 1594,Unknown,Civilians,State forces-Civilians,Country A,Region8,City333,35.3736,36.6018,1,2,February,1,19-Feb,Friday,5,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,78,Low,Military Group 3561,State Military,Independent,State Actor,Civilian Group 1594,Civilians,Independent,Civilians,Agriculture,Primary,Minor <5%,Medium 1k-10k,Retail Shop,Medium 50-250,Family-owned,7,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1148727,254,229,199,0.65,Youth 13-18,4115,1532,1917,Refugees,Balanced,Internally Displaced-IDP,Long-term >6mo,Street/Outdoors,Overcrowded,Food,Urgent <24h,Medical Evac Required,No Water Access,4,1732,91,525835,Residential,Residential,Non-Critical,Community,Severe 50-75%,Shelling Damage,Unsafe-Evacuated,Reconstruction >6mo,Multiple Services,Full 90-100%,Temporary Alternative,1000-5000,6008168,161,69,3676,Intl NGO,Emergency Medical,Large Global,Scaling Up,Resolution Vote,Regional Bloc,Arab League,Ceasefire Call,International Mainstream,Global Limited,Middle East Media,Geopolitical Analysis,3,313496,122464,19,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Civilians Directly Targeted,Artillery/Mortars,Civilians Directly Targeted,Potential War Crime Indicator,0,1
CountryA501,2019-11-28,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City561,35.5407,36.7264,0,11,November,4,19-Nov,Thursday,48,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,2,Medium,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Industry,Secondary,Minor <5%,Small <1k,Retail Shop,Micro <5 emp,Family-owned,0,Internal Route 1,Border Closure,Food/Agriculture,Moderate,350659,87,575,0,0.57,Adults 19-60,1735,774,788,Multiple,Balanced,Internally Displaced-IDP,Medium-term 1-6mo,Street/Outdoors,Critical/Dire,Food,High Priority <72h,Partial Access,Intermittent,0,2350,133,743434,Port,Transportation,Non-Critical,Mixed,Destroyed 95-100%,Shelling Damage,Fully Collapsed/Demolished,Beyond Repair/Replacement,Transportation,Full 90-100%,No Backup,1000-5000,4920614,393,100,3060,UN Agency,Emergency Medical,Large Global,Scaling Up,Condemnation,Bilateral Country,UN,Neutral/Balanced,Regional Coverage,Regional,Middle East Media,Factual/Neutral,5,123925,55799,45,3,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA502,2019-07-27,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 1051,Military Group 3561,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region8,City71,35.6131,36.3625,0,7,July,3,19-Jul,Saturday,30,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,3,Low,Military Group 1051,Unknown,Russian Forces,Civilians,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Minor <5%,Small <1k,Retail Shop,Micro <5 emp,Family-owned,0,Internal Route 1,Border Closure,Food/Agriculture,Moderate,3530256,130,262,0,0.16,Mixed All Ages,6366,2284,3376,Disabled,Balanced,Evacuated,Permanent,Tent Camp,Critical/Dire,Clean Water,Urgent <24h,Full Access,No Water Access,0,752,142,517760,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Fire Damage,Unsafe-Evacuated,Reconstruction >6mo,Transportation,Partial 40-70%,Temporary Alternative,20000-50000,9827006,63,58,22421,Local NGO,Multi-Sector,Small Local,Scaling Up,Statement Only,Bilateral Country,Arab League,Neutral/Balanced,Local News Only,Local,Western Media,Balanced,1,569485,302172,43,1,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Rockets/Missiles,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA503,2019-11-12,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City398,35.5559,36.5722,0,11,November,4,19-Nov,Tuesday,46,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,52,Medium,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Agriculture,Primary,Minor <5%,Small <1k,Workshop,Micro <5 emp,Corporate,5,Internal Route 1,Border Closure,Food/Agriculture,Moderate,2760718,99,654,231,0.87,Mixed All Ages,5075,1989,2348,Multiple,Balanced,Evacuated,Medium-term 1-6mo,UNRWA Shelter,Minimal Services,Shelter,High Priority <72h,Medical Evac Required,Unsafe Water Only,0,2572,89,287128,Port,Transportation,Non-Critical,Mixed,Major 75-95%,Fire Damage,Partially Collapsed,Reconstruction >6mo,Transportation,Full 90-100%,No Backup,5000-20000,7098083,339,94,7611,Local NGO,WASH,Small Local,Scaling Up,Statement Only,UN General Assembly,OIC,Pro-Country D/Country E,Local News Only,Local,Middle East Media,Factual/Neutral,2,443080,398239,16,3,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA504,2019-05-09,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City394,35.5458,36.5442,0,5,May,2,19-May,Thursday,19,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,120,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Industry,Secondary,Medium 5-20%,Small <1k,Retail Shop,Micro <5 emp,Government,14,Internal Route 1,Border Closure,Food/Agriculture,Moderate,376645,149,62,0,1.31,Adults 19-60,3411,1093,1824,Multiple,Balanced,Evacuated,Permanent,UNRWA Shelter,Minimal Services,Food,Moderate <7d,No Access,Unsafe Water Only,0,2719,76,734002,Port,Transportation,Non-Critical,Mixed,Minor <25%,Fire Damage,Safe/Operational,Quick Repair <1mo,Transportation,Full 90-100%,No Backup,>50000,6860516,10,23,130080,Red Cross/Crescent,Emergency Medical,Large Global,Deployed for Event,Condemnation,UN Security Council,OIC,Pro-Country D/Country E,Regional Coverage,Regional,Social Media,Factual/Neutral,14,466272,153588,6,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA505,2019-04-26,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region8,City60,35.5232,36.38,0,4,April,2,19-Apr,Friday,17,1,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,55,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Industry,Secondary,Minor <5%,Medium 1k-10k,Retail Shop,Small 5-50,Family-owned,11,Internal Route 1,Border Closure,Food/Agriculture,Moderate,3368512,59,714,0,1.35,Youth 13-18,6811,2421,3232,Multiple,Balanced,Internally Displaced-IDP,Short-term <1mo,UNRWA Shelter,Unsafe,Clean Water,Moderate <7d,Partial Access,Unsafe Water Only,0,3629,35,236337,Port,Transportation,Non-Critical,Mixed,Destroyed 95-100%,Shelling Damage,Fully Collapsed/Demolished,Beyond Repair/Replacement,Transportation,Full 90-100%,No Backup,5000-20000,1880313,637,100,12906,Intl NGO,Food Security,Small Local,Pre-existing,Condemnation,UN General Assembly,Arab League,Neutral/Balanced,Local News Only,Local,Global Mixed,Factual/Neutral,4,649370,444592,30,2,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA506,2019-10-28,2019,Political violence,Battles,Armed clash,Actor 4854,Unknown,Political militia,Military Group 4373,Unknown,Rebel group,Rebel group-Political militia,Country A,Region2,City213,36.4005,38.9682,1,10,October,4,19-Oct,Monday,44,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,53,Low,Actor 4854,Militia,Independent,Non-State Armed Group,Military Group 4373,Unknown,Independent,Civilians,Services,Tertiary,Medium 5-20%,Small <1k,Workshop,Micro <5 emp,Cooperative,3,Internal Route 1,Border Closure,Food/Agriculture,Moderate,2659337,20,409,0,0.89,Youth 13-18,3139,1012,1599,Multiple,Predominantly Male,Evacuated,Medium-term 1-6mo,Tent Camp,Overcrowded,Shelter,Immediate Life-Threatening,Partial Access,Unsafe Water Only,5,1907,46,578223,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Shelling Damage,Safe/Operational,Operational,Transportation,High 70-90%,No Backup,<100,0,0,0,0,Intl NGO,Multi-Sector,Large Global,Scaling Up,Investigation Launched,UN Security Council,Individual Nation,Ceasefire Call,International Mainstream,Global Widespread,Middle East Media,Geopolitical Analysis,4,187588,124723,25,9,Non-International Armed Conflict,Internal Factional,Skirmish,Mixed/Disputed,Mixed Civilian-Military Area,Small Arms/Rifles,Disproportionate Force,Proportionality Question,0,1
CountryA507,2019-12-25,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Actor 1131,Unknown,Rebel group,Military Group 3561,Unknown,State forces,State forces-Rebel group,Country A,Region10,City403,35.7376,36.5784,0,12,December,4,19-Dec,Wednesday,52,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,2,Low,Actor 1131,Unknown,Independent,Civilians,Military Group 3561,State Military,Independent,State Actor,Agriculture,Primary,Minor <5%,Small <1k,Retail Shop,Micro <5 emp,Family-owned,16,Internal Route 1,Border Closure,Food/Agriculture,Moderate,201431,204,245,303,0.39,Adults 19-60,5312,1878,2597,Multiple,Predominantly Male,Internally Displaced-IDP,Permanent,Tent Camp,Overcrowded,Medical Care,High Priority <72h,No Access,Intermittent,0,2492,64,1200479,Port,Transportation,Non-Critical,Mixed,Severe 50-75%,Equipment Destruction,Unsafe-Evacuated,Reconstruction >6mo,Transportation,High 70-90%,Temporary Alternative,1000-5000,4109631,169,68,1422,Red Cross/Crescent,Protection/Rights,Large Global,Pre-existing,Condemnation,Bilateral Country,OIC,Neutral/Balanced,Regional Coverage,Regional,Middle East Media,Balanced,11,701545,546706,44,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Military Personnel,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA508,2019-05-06,2019,Political violence,Battles,Armed clash,Military Group 3561,Military Group 3635,State forces,Actor 2809,Armed Group 2410,Rebel group,State forces-Rebel group,Country A,Region8,City325,35.4322,36.4908,4,5,May,2,19-May,Monday,19,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,73,Low,Military Group 3561,State Military,Independent,State Actor,Actor 2809,Unknown,Independent,Civilians,Public Sector,Tertiary,Medium 5-20%,Small <1k,Retail Shop,Micro <5 emp,Corporate,4,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1508736,96,624,0,0.75,Mixed All Ages,3203,1032,1607,Multiple,Predominantly Female,Evacuated,Short-term <1mo,UNRWA Shelter,Overcrowded,Clean Water,High Priority <72h,No Access,No Water Access,20,1466,64,1378309,Port,Transportation,Non-Critical,Mixed,Destroyed 95-100%,Fire Damage,Fully Collapsed/Demolished,Beyond Repair/Replacement,Transportation,Partial 40-70%,Temporary Alternative,1000-5000,12675454,617,100,1787,Local NGO,Protection/Rights,Medium Regional,Pre-existing,Statement Only,UN Security Council,OIC,Ceasefire Call,Regional Coverage,Regional,Middle East Media,Humanitarian Focus,1,90527,45889,13,3,International Armed Conflict,Internal Factional,Firefight,Geneva Conventions Apply,Mixed Civilian-Military Area,Other,Disproportionate Force,Proportionality Question,3,1
CountryA509,2019-10-15,2019,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Actor 2240,Unknown,External/Other forces,Military Group 3561,Unknown,State forces,State forces-External/Other forces,Country A,Region7,City353,35.2984,40.2894,0,10,October,4,19-Oct,Tuesday,42,0,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,113,Low,Actor 2240,Unknown,Independent,Civilians,Military Group 3561,State Military,Independent,State Actor,Services,Tertiary,Minor <5%,Large >10k,Retail Shop,Micro <5 emp,Corporate,6,Internal Route 1,Border Closure,Food/Agriculture,Moderate,2655641,231,577,0,0.71,Mixed All Ages,445,144,227,Refugees,Balanced,Internally Displaced-IDP,Long-term >6mo,Street/Outdoors,Critical/Dire,Clean Water,Moderate <7d,No Access,No Water Access,0,1987,158,180735,Port,Transportation,Non-Critical,Mixed,Destroyed 95-100%,Equipment Destruction,Fully Collapsed/Demolished,Beyond Repair/Replacement,Transportation,Full 90-100%,Partial Backup,5000-20000,1414758,546,100,6426,Local NGO,Emergency Medical,Large Global,Pre-existing,Condemnation,UN General Assembly,Arab League,Neutral/Balanced,International Mainstream,Global Limited,Western Media,Humanitarian Focus,0,0,0,0,7,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Military Personnel,Artillery/Mortars,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA510,2019-12-03,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City296,35.5707,36.5588,0,12,December,4,19-Dec,Tuesday,49,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,73,Low,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Industry,Secondary,Major >20%,Small <1k,Office,Micro <5 emp,Cooperative,8,Internal Route 1,Border Closure,Food/Agriculture,Moderate,249836,74,266,0,0.78,Mixed All Ages,4972,1779,2270,Pregnant,Predominantly Male,Evacuated,Permanent,Tent Camp,Minimal Services,Clean Water,Urgent <24h,No Access,No Water Access,0,1923,107,1118629,Port,Transportation,Non-Critical,Mixed,Major 75-95%,Shelling Damage,Partially Collapsed,Reconstruction >6mo,Transportation,High 70-90%,Yes Full Backup,1000-5000,15818973,120,91,1200,Red Cross/Crescent,Emergency Medical,Large Global,Deployed for Event,Condemnation,Regional Bloc,Arab League,Pro-Country D/Country E,Social Media Viral,Global Limited,Western Media,Sympathetic to Victims,10,54513,18695,46,6,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA511,2019-05-10,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region10,City203,35.7212,36.5565,0,5,May,2,19-May,Friday,19,1,Pre-Oct7 2016-2023,Town,Suburban,Medium,Stable,83,Medium,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Trade,Tertiary,Minor <5%,Medium 1k-10k,Market,Small 5-50,Family-owned,12,Internal Route 1,Border Closure,Food/Agriculture,Moderate,1031510,32,700,0,0.28,Mixed All Ages,3473,1079,1839,Multiple,Balanced,Internally Displaced-IDP,Permanent,Street/Outdoors,Minimal Services,Food,High Priority <72h,Full Access,No Water Access,0,1081,24,827082,Port,Transportation,Non-Critical,Mixed,Destroyed 95-100%,Fire Damage,Fully Collapsed/Demolished,Beyond Repair/Replacement,Transportation,Full 90-100%,Partial Backup,>50000,13433662,572,100,135900,UN Agency,Food Security,Large Global,Scaling Up,No Action,Bilateral Country,UN,Pro-Country D/Country E,Regional Coverage,Regional,Western Media,Geopolitical Analysis,3,623818,255312,19,3,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
CountryA512,2019-05-22,2019,Political violence,Explosions/Remote violence,Air/drone strike,Military Group 3561,Unknown,State forces,Unknown,Unknown,Civilians,State forces only,Country A,Region8,City542,35.4889,36.3912,0,5,May,2,19-May,Wednesday,21,0,Pre-Oct7 2016-2023,Town,Suburban,High,Stable,72,Medium,Military Group 3561,State Military,Independent,State Actor,Unknown,Unknown,Independent,Civilians,Services,Tertiary,Minor <5%,Small <1k,Office,Small 5-50,Family-owned,5,Internal Route 1,Border Closure,Food/Agriculture,Moderate,2437000,120,49,0,0.08,Mixed All Ages,7363,2594,3858,Orphans,Balanced,Internally Displaced-IDP,Long-term >6mo,Relatives Home,Minimal Services,Food,Moderate <7d,No Access,Safe Water Available,0,1253,62,1514562,Port,Transportation,Non-Critical,Mixed,Moderate 25-50%,Multiple Types,Needs Minor Repair,Medium Repair 1-6mo,Transportation,High 70-90%,No Backup,20000-50000,11868496,22,32,30404,Red Cross/Crescent,Emergency Medical,Large Global,Deployed for Event,No Action,Bilateral Country,UN,Pro-Country D/Country E,International Mainstream,Global Limited,Middle East Media,Geopolitical Analysis,3,624911,527599,21,5,International Armed Conflict,Internal Factional,Skirmish,Geneva Conventions Apply,Mixed Civilian-Military Area,IED/Explosives,No Civilians Present/Harmed,No Apparent Violation,0,0
